company_id,statement_date,total_net_sales,cost_of_revenue,gross_profit,marketing_expense,research_and_development_expenses,general_and_administrative_expenses,total_operating_expenses,operating_income,interest_expense,non-operating_income,income_before_taxes,income_tax_expense,net_income,basic,diluted,basic.1,diluted.1,revenue,selling_general_and_administrative_expenses,cost_goods_and_services_sold
2760,2023-12-31,,1954012.0,3947413.0,,2777960.0,4955709.0,11098934.0,-7151521.0,,622034.0,,,-6529487.0,-6.27,-6.27,1041991.0,1041991.0,,,
2761,2023-12-31,1969131000.0,,1357281000.0,,22600000.0,546858000.0,1309013000.0,48268000.0,25600000.0,-21690000.0,26578000.0,17983000.0,8595000.0,0.17,0.17,49711000.0,49860000.0,,,611850000.0
2762,2023-12-31,,,34774171.0,,,33229718.0,66547919.0,-31773748.0,16317869.0,,-48490799.0,-5067084.0,-45786614.0,-0.07,-0.07,661247959.0,,247646316.0,,
2763,2023-12-31,,,,,71289000.0,28533000.0,99822000.0,-99822000.0,,24020000.0,-75802000.0,0.0,-75802000.0,-0.35,-0.35,218880.0,218880.0,,,
2764,2023-12-31,,,,,113243000.0,36249000.0,149492000.0,-149492000.0,,23273000.0,,,-126219000.0,-2.17,-2.17,58223339.0,58223339.0,,,
2765,2023-12-31,8864000.0,,4983000.0,,5422000.0,,22613000.0,-17630000.0,,,-20201000.0,8000.0,-20209000.0,-11.52,-11.52,1964406.0,1964406.0,,17191000.0,3881000.0
2766,2023-09-30,3348831.0,3340013.0,8818.0,,,,8880435.0,-8871617.0,,,,0.0,-8749467.0,-11.95,-11.95,732421.0,732421.0,,,
2767,2023-12-31,,,,,,,,-1508683.0,,3127383.0,1618700.0,456790.0,1161910.0,0.12,0.12,5193750.0,5193750.0,,,
2768,2023-12-31,,343768000.0,,,737502000.0,468946000.0,,-566511000.0,14416000.0,,-543031000.0,2031000.0,-545062000.0,-5.41,-5.41,100768000.0,100768000.0,983705000.0,,
2769,2023-12-31,,128280000.0,381058000.0,,223062000.0,164057000.0,613928000.0,-232870000.0,4906000.0,,-191740000.0,15303000.0,-207043000.0,-1.95,-1.95,106391178.0,106391178.0,509338000.0,,
