company_id,statement_date,net_income,depreciation_and_amortization,stock_based_compensation,foreign_currency_transaction_gain_or_loss,other_noncash_income_or_expense,changes_in_other_current_assets,changes_in_accounts_payable,changes_in_inventories,changes_in_deferred_revenue,net_cash_provided_by_operating_activities,purchases_of_marketable_securities,proceeds_from_maturities_of_marketable_securities,proceeds_from_sale_of_marketable_securities,purchases_of_property_and_plant_and_equipment,payments_to_acquire_investments,payments_to_acquire_businesses,deferred_revenue,other_investing_activities,net_cash_provided_by_investing_activities,payments_of_tax_for_share_based_compensation,dividends_paid,repurchases_of_common_stock,proceeds_from_issuance_of_common_stock,repayments_of_long_term_debt,net_cash_provided_by_financing_activities,changes_in_cash_and_cash_equivalents_and_restricted_cash,cash_and_cash_equivalents_and_restricted_cash
1004,2023-12-31,-73963000.0,8110000.0,8769000.0,,2008000.0,,-773000.0,-7399000.0,,-42835000.0,,,,2505000.0,,,,-860000.0,-59499000.0,1030000.0,,,,,-1030000.0,-95353000.0,669291000.0
1005,2023-12-31,792566000.0,54304000.0,29072000.0,-1240000.0,-3401000.0,,37197000.0,-86350000.0,,930444000.0,,,,115625000.0,,0.0,,46000.0,-115671000.0,,,175019000.0,,,-859639000.0,-41788000.0,153097000.0
1006,2023-06-30,56400000.0,131000000.0,16400000.0,-400000.0,,-13000000.0,29200000.0,140300000.0,,14700000.0,,,,,,,,,-82300000.0,3800000.0,39400000.0,,,0.0,-40100000.0,-109700000.0,44500000.0
1007,2023-12-31,-153610000.0,19837000.0,81028000.0,,16545000.0,,,,5794000.0,-260375000.0,,,,9470000.0,,,5794000.0,,374647000.0,,,,32721000.0,,62664000.0,177009000.0,
1008,2023-12-31,-2590000.0,,30873000.0,-2587000.0,-3584000.0,,62150000.0,39470000.0,,89153000.0,,,,12761000.0,,14220000.0,,,-26981000.0,1409000.0,,,,,-37387000.0,24504000.0,178564000.0
1009,2023-12-31,53259000.0,,97185000.0,-7553000.0,-2811000.0,8479000.0,,,,224246000.0,,,,,,6825000.0,,,-108712000.0,,,125489000.0,1945000.0,0.0,-147254000.0,-36943000.0,411257000.0
1010,2023-03-25,176703000.0,71202000.0,81641000.0,,-3102000.0,,-34307000.0,95014000.0,,339568000.0,15299000.0,,,35090000.0,,0.0,,,-33330000.0,18082000.0,,191382000.0,,,-230268000.0,75970000.0,445784000.0
1011,2023-03-31,66365000.0,25121000.0,5559000.0,,,,,,-10241000.0,82288000.0,,,,26320000.0,,,-10241000.0,,-26320000.0,,,93675000.0,,,-82143000.0,-26175000.0,
1012,2023-12-31,-2171873.0,,407632.0,,,,565169.0,,,-7449847.0,,,,,,,,,,,,,810000.0,,11149114.0,3699267.0,7792846.0
1013,2023-12-31,-27029000.0,151000.0,2147000.0,,,,-451000.0,,,-23935000.0,47048000.0,62623000.0,,34000.0,,,,,15541000.0,,,,,,7855000.0,-539000.0,12620000.0
1014,2024-01-31,89327000.0,,631519000.0,,-3173000.0,,-18898000.0,,696639000.0,1166207000.0,,,,176529000.0,,239030000.0,696639000.0,,-340650000.0,,,,,,93158000.0,920673000.0,3377597000.0
